artist_input,wikidata_uri,label,country,country_lat,country_lon,birth,birth_place,birth_lat,birth_lon,death,death_place
Anne Breivik,http://www.wikidata.org/entity/Q11958235,Anne Breivik,Noruega,59.933334,10.683333,1932-02-05T00:00:00Z,Steinkjer,64.013054,11.496944,2012-05-04T00:00:00Z,Moss
Annie Leibovitz,http://www.wikidata.org/entity/Q225283,Annie Leibovitz,Estados Unidos,39.828175,-98.5795,1949-10-02T00:00:00Z,Waterbury,41.558334,-73.03694,,
Antelma Santini,,,,,,,,,,,
Antoine Mortier,http://www.wikidata.org/entity/Q2854268,Antoine Mortier,Bélgica,50.64111,4.6680555,1908-10-02T00:00:00Z,Saint-Gilles,50.826668,4.345556,1999-01-01T00:00:00Z,Auderghem
Antoni Mikolajczyk,,,,,,,,,,,
Antoni Miralda,http://www.wikidata.org/entity/Q3816475,Antoni Miralda,Espanha,40.2,-3.5,1942-01-01T00:00:00Z,Terrassa,41.56111,2.0080554,,
Antoni Tàpies,,,,,,,,,,,
Antonio Bandeira,,,,,,,,,,,
Antonio Henrique Amaral,http://www.wikidata.org/entity/Q4776692,Antonio Henrique do Amaral,Brasil,-14.0,-53.0,1935-08-24T00:00:00Z,São Paulo,-23.550394,-46.633945,2015-04-24T00:00:00Z,São Paulo
Antonio Segui,,,,,,,,,,,
Antônio Carlos de Vianna Antunes,,,,,,,,,,,
Antônio Gomide,,,,,,,,,,,
Antônio Guimarães,http://www.wikidata.org/entity/Q18811158,Antônio Guimarães,Brasil,-14.0,-53.0,1900-05-04T00:00:00Z,Rio de Janeiro,-22.911112,-43.205555,1975-02-27T00:00:00Z,
Antônio Lizárraga,,,,,,,,,,,
Antônio Poteiro,http://www.wikidata.org/entity/Q8202090,Antônio Poteiro,Brasil,-14.0,-53.0,1925-10-10T00:00:00Z,Freguesia de Pousada,41.60984,-8.34652,2010-06-08T00:00:00Z,Goiânia
Antônio Vitor,,,,,,,,,,,
Anésia Pacheco e Chaves,,,,,,,,,,,
Arcangelo Ianelli,http://www.wikidata.org/entity/Q8203364,Arcangelo Ianelli,Brasil,-14.0,-53.0,1922-07-19T00:00:00Z,São Paulo,-23.550394,-46.633945,2009-05-26T00:00:00Z,São Paulo
Ardengo Soffici,http://www.wikidata.org/entity/Q638877,Ardengo Soffici,Reino da Itália,41.9,12.5,1879-04-07T00:00:00Z,Rignano sull'Arno,43.7237,11.4507,1964-08-19T00:00:00Z,Vittoria Apuana
Armando Balloni,,,,,,,,,,,
Arnaldo Pedroso D'Horta,,,,,,,,,,,
Arnoldo Ciarrocchi,http://www.wikidata.org/entity/Q22662653,Arnoldo Ciarrocchi,Reino da Itália,41.9,12.5,1916-01-01T00:00:00Z,Civitanova Marche,43.30675,13.7286,2004-01-01T00:00:00Z,
Arthur Garfield Dove,,,,,,,,,,,
Arthur Luiz Piza,http://www.wikidata.org/entity/Q710479,Arthur Luiz Piza,Brasil,-14.0,-53.0,1928-01-13T00:00:00Z,São Paulo,-23.550394,-46.633945,2017-05-26T00:00:00Z,Neuilly-sur-Seine
Arthur Osver,http://www.wikidata.org/entity/Q20936623,Arthur Osver,Estados Unidos,39.828175,-98.5795,1912-06-26T00:00:00Z,Chicago,41.881943,-87.62778,2006-01-01T00:00:00Z,St. Louis
Artur Barrio,http://www.wikidata.org/entity/Q4801601,Artur Barrio,Brasil,-14.0,-53.0,1945-02-01T00:00:00Z,Porto,41.15,-8.610833,,
Artur Lescher,http://www.wikidata.org/entity/Q9631689,Artur Lescher,Brasil,-14.0,-53.0,1962-01-01T00:00:00Z,São Paulo,-23.550394,-46.633945,,
Arturo García Bustos,,,,,,,,,,,
Arturo Tosi,http://www.wikidata.org/entity/Q4801807,Arturo Tosi,Reino da Itália,41.9,12.5,1871-07-25T00:00:00Z,Busto Arsizio,45.611958,8.8518,1956-01-03T00:00:00Z,Milão
Atanasio Soldati,http://www.wikidata.org/entity/Q667445,Atanasio Soldati,Reino da Itália,41.9,12.5,1896-08-24T00:00:00Z,Parma,44.80147,10.328,1953-08-27T00:00:00Z,Parma
Axel Leskoschek,,,,,,,,,,,
Ayao Okamoto,http://www.wikidata.org/entity/Q51804789,Ayao Okamoto,Brasil,-14.0,-53.0,1953-12-15T00:00:00Z,Assaí,-23.372778,-50.84083,,
Barbara Hepworth,http://www.wikidata.org/entity/Q234109,Barbara Hepworth,Reino Unido,54.6,-2.0,1903-01-10T00:00:00Z,Wakefield,53.6825,-1.4975,1975-05-20T00:00:00Z,St Ives
Barbara Schubert Spanoudis,,,,,,,,,,,
Barrão,,,,,,,,,,,
Ben Shahn,http://www.wikidata.org/entity/Q695239,Ben Shahn,Estados Unidos,39.828175,-98.5795,1898-09-12T00:00:00Z,Kaunas,54.9,23.933332,1969-03-14T00:00:00Z,Nova Iorque
Ben Vautier,http://www.wikidata.org/entity/Q604546,Ben,França,47.0,2.0,1935-07-18T00:00:00Z,Nápoles,40.835835,14.248611,2024-06-05T00:00:00Z,Bertrix
Benedetta Bonichi,http://www.wikidata.org/entity/Q5725579,Benedetta Bonichi,Itália,42.5,12.5,1968-01-01T00:00:00Z,Roma,41.893055,12.482778,,
Bené Fonteles,http://www.wikidata.org/entity/Q51804797,Bené Fonteles,Brasil,-14.0,-53.0,1953-03-21T00:00:00Z,Bragança,-1.0627778,-46.772778,,
