Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
Ângela Leite,,Instituto de Ciências Biomédicas Abel Salazar,,,,,female
,,ISMAI,,,,,
,,Faculty of Arts and Humanities of the University of Porto,,,,,
Anhelo Hernández Ríos,Uruguay,,,Montevideo,,Montevideo,male
Anita Malfatti,Brazil,Mackenzie Presbyterian University,,São Paulo,,São Paulo,female
Anna Barros,,,,,,,
Anna Bella Geiger,Brazil,Federal University of Rio de Janeiro,,Rio de Janeiro,,,female
Anna Coccoli,,,,,,,
Anna Kutera,Poland,Eugeniusz Geppert Academy of Fine Arts,,Zgorzelec,,,female
Anna Letycia Quadros,Brazil,,,,,,female
Anna Luiza Bellucci,,,,,,,
Anna Maria Maiolino,Brazil,Escola Nacional de Belas Artes,,Scalea,,,female
Anna Salvatore,Italy,,,Rome,,Rome,female
Annarrê Smith,Brazil,,,São Paulo,,,
Anne Breivik,Norway,,,Steinkjer Municipality,,Moss Municipality,female
Anne Ethuin,France,,,,Père Lachaise Cemetery,,female
,,,,,Grave of Jaguer,,
Anne Ryan,United States,Atelier 17,,Hoboken,,Morristown,female
Annie Leibovitz,United States,San Francisco Art Institute,,Waterbury,,,female
,,Northwood High School,,,,,
Anselmo Bucci,Kingdom of Italy,Brera Academy,,Fossombrone,urban cemetery of Monza,Monza,male
Antelma Santini,,,,,,,
Antoine Mortier,Belgium,,,Saint-Gilles,,Auderghem,male
Antoni Mikołajczyk,Poland,Nicolaus Copernicus University in Toruń,,Siemianowice Śląskie,Służew Cemetery (Renety Street),Łódź,male
Antoni Miralda,Spain,,,Terrassa,,,male
Antoni Muntadas,United States,,,Barcelona,,,male
,Spain,,,,,,
安东尼·塔皮埃斯,Spain,German School of Barcelona,,Barcelona,Cementiri de Collserola,Barcelona,male
Antônio Bandeira,Brazil,Beaux-Arts de Paris,African Brazilians,Fortaleza,,Paris,male
Antonio Corpora,Kingdom of Italy,Tunis Institute of Fine Arts,,Tunis,,Rome,male
Antonio Dias,Brazil,,,Campina Grande,,Rio de Janeiro,male
Antonio Ferro,,,,,,,
Antonio Henrique Amaral,Brazil,,,São Paulo,,São Paulo,male
Antonio Seguí,Argentina,,,Villa Allende,Cemetery of Arcueil,Buenos Aires,male
,France,,,,,,
Antônio Carlos de Vianna Antunes,,,,,,,
Antônio Celso Sparapan ,,,,,,,
 Anésia Pacheco e Chaves,,,,,,,
Antonio Gomide,Brazil,,,Itapetininga,,,male
Antônio Guimarães,Brazil,,,Rio de Janeiro,,,male
Antônio Carlos Nogueira Cabral,Brazil,University of São Paulo,,São Paulo,,Rio de Janeiro,male
Antonio Lizárraga,,,,,,,male
António Pedro,Portugal,University of Lisbon,,Praia,,Freguesia de Moledo,male
Antônio Poteiro,Portugal,,,Freguesia de Pousada,,Goiânia,male
,Brazil,,,,,,
Antônio Vitor,,,,,,,
Antti Nieminen,Finland,,,Vyborg,,,male
Aprígio,,,,,,,
Arcangelo Ianelli,Brazil,,,São Paulo,,São Paulo,male
Ardengo Soffici,Kingdom of Italy,,,Rignano sull'Arno,,Vittoria Apuana,male
Letícia Burgos,,,,,,,
