Coluna 1,country of citizenship,educated at,ethnic group,place of birth,place of burial,place of death,sex or gender
A. Bierry,,,,,,,
A. Correa Costa,,,,,,,
A. Tinoco,,,,,,,
A.Guedes,,,,,,,
,Brazil,,,,,,
Artur Timóteo da Costa,Brazil,Federal University of Rio de Janeiro,African Brazilians,Rio de Janeiro,,Rio de Janeiro,male
,,Escola Nacional de Belas Artes,,,,,
Arturo Tosi,Kingdom of Italy,Brera Academy,,Busto Arsizio,,Milan,male
,Italy,,,,,,
Atanasio Soldati,Italy,University of Parma,,Parma,,Parma,male
,Kingdom of Italy,,,,,,
Auguste Petit,France,,,Châtillon-sur-Seine,,Rio de Janeiro,male
Augusto Bracet,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Augusto Müller,Brazil,Academia Imperial de Belas Artes,,Baden-Baden,,Rio de Janeiro,male
Augusto Rodrigues Duarte,Brazil,,,Portugal,,Rio de Janeiro,male
,Kingdom of Portugal,,,,,,
Aurélio de Figueiredo,Brazil,,,Areia,,Rio de Janeiro,male
Aurélio Zimmermann,Brazil,,,Germany,,São Paulo,male
Autoria não identificada,,,,,,,
Ayanna Duran,,,,,,,
Ayao Okamoto,Brazil,,,Assaí,,,male
B. Constante Neto,,,,,,,
Barbara Schubert Spanoudis,,,,,,,
Barthélemy Lauvergne,France,,,Toulon,,Carcès,male
Belmiro de Almeida,Brazil,,,Brazil,,Paris,male
Belmiro de Almeida,Brazil,,,Brazil,,Paris,male
Benedito Calixto,Brazil,Académie des beaux-arts,,Itanhaém,,São Paulo,male
Beniamino Parlagreco,Brazil,,,Caltanissetta,,Rio de Janeiro,male
Benjamin Mary,Belgium,,,Province of Liege,,Bagnères-de-Luchon,male
Benno Treidler,German Empire,,,Berlin,,Rio de Janeiro,male
,Brazil,,,,,,
Bento José Rufino Capinam,Brazil,,,Salvador,,Salvador,male
Bernardo Cid de Souza Pinto,,,,,,,male
Bernhard Wiegandt,Kingdom of Prussia,"Academy of Fine Arts, Munich",,Cologne,,Bremen,male
Bertha Worms,Brazil,,,Uckange,,São Paulo,female
,France,,,,,,
Bettina Vaz Guimarães,,,,,,,female
Bin Kondo,,,,,,,
Bramante Buffoni,Italy,,,,,,male
,Kingdom of Italy,,,,,,
Bruno Cassinari,Italy,Brera Academy,,Piacenza,,Milan,male
,Kingdom of Italy,,,,,,
Bruno Dunley,,,,,,,
Bruno Saetti,Italy,,,Bologna,Certosa di Bologna,Bologna,male
,Kingdom of Italy,,,,,,
Byron Browne,United States,,,Yonkers,,New York City,male
Christian Bacchi,,ESIGELEC,,,,,male
Canela Castro,Argentina,,,,,,female
"C. Linde, c.i.d.",,,,,,,
Caciporé Torres,Brazil,,,Araçatuba,,,male
Cadmo Fausto de Sousa,Brazil,,,,,,male
Cândido Caetano de Almeida Reis,Brazil,Academia Imperial de Belas Artes,,Rio de Janeiro,,Rio de Janeiro,male
Caetano Luiz de Miranda,,,,,,,
Caetano Luiz de Miranda (?),,,,,,,
Camille Graeser,Switzerland,State Academy of Fine Arts Stuttgart,,Carouge,,Wald,male
Camille Kachani,,,,,,,male
Campos Ayres,Brazil,,,Itapetininga,,,male
Candido Portinari,Brazil,Escola Nacional de Belas Artes,,Brodowski,,Rio de Janeiro,male
Carl Friedrich Philipp von Martius,Kingdom of Bavaria,Friedrich-Alexander-Universität Erlangen-Nürnberg,,Erlangen,Alter Südfriedhof,Munich,male
Carl Morris,United States,School of the Art Institute of Chicago,,Yorba Linda,,,male
Carlito Contini,Brazil,Fundação Armando Alvares Penteado,,São Paulo,,,male
Carlo Carrà,Italy,Brera Academy,,Quargnento,,Milan,male
,Kingdom of Italy,,,,,,
Carlo De Servi,Brazil,,,Lucca,,Rome,male
Carlos Asp,Brazil,,,Porto Alegre,,,male
Carlos Washington Aliseris Genta,Uruguay,,,Montevideo,,Montevideo,male
Conde do Pinhal,Brazil,,,Piracicaba,,São Carlos,male
Carlos Balliester,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Carlos Chambelland,Brazil,,,Rio de Janeiro,,Rio de Janeiro,male
Carlos Delfino,Argentina,,,Santa Fe,,,male
,Italy,,,,,,
Carlos Lima,,,,,,,
Carlos Mendonça,Portugal,,,Lisbon,,,male
Carlos Santiago Mérida,Guatemala,,,Guatemala City,,Mexico City,male
Carlos Prado,Brazil,,,São Paulo,,São Paulo,male
Carlos Reis,Portugal,,,Torres Novas,,Coimbra,male
,Kingdom of Portugal,,,,,,
Carlos Scliar,Brazil,,,Santa Maria,,Rio de Janeiro,male
Carlos Vázquez Úbeda,Spain,,,Ciudad Real,,Barcelona,male
Carlos Zílio,Brazil,Federal University of Rio de Janeiro,,Rio de Janeiro,,,male
Carmela Gross,Brazil,Fundação Armando Alvares Penteado,,São Paulo,,,female
,,University of São Paulo,,,,,
,,University of São Paulo,,,,,
,,European Ceramics Work Center,,,,,
Carmélio Cruz,,,,,,,
Carolus-Duran,France,École des beaux-arts de Lille,,Lille,Fréjus,14th arrondissement of Paris,male
,,Académie Suisse,,,,,
Carybé,Brazil,,,Lanús,,Salvador,male
Castan C.,,,,,,,
